X: (Hz),Y: (A)
1.12667e+07,0.00522221
1.12833e+07,0.00668494
1.13e+07,0.00455544
1.13167e+07,0.00846088
1.13333e+07,0.00553651
1.135e+07,0.0103695
1.13667e+07,0.00793127
1.13833e+07,0.0105223
1.14e+07,0.00753231
1.14167e+07,0.00919014
1.14333e+07,0.00642276
1.145e+07,0.00706103
1.14667e+07,0.00539817
1.14833e+07,0.00553978
1.15e+07,0.00635081
1.15167e+07,0.00540736
1.15333e+07,0.00952469
1.155e+07,0.00673687
1.15667e+07,0.0104304
1.15833e+07,0.00705783
1.16e+07,0.0105168
1.16167e+07,0.00659709
1.16333e+07,0.00908308
1.165e+07,0.00469384
1.16667e+07,0.00760902
1.16833e+07,0.0056942
1.17e+07,0.00560103
1.17167e+07,0.00778139
1.17333e+07,0.00657223
1.175e+07,0.010517
1.17667e+07,0.00716097
1.17833e+07,0.0110539
1.18e+07,0.00696172
1.18167e+07,0.00893513
1.18333e+07,0.00559565
1.185e+07,0.0082908
1.18667e+07,0.00485083
1.18833e+07,0.00776307
1.19e+07,0.00551094
1.19167e+07,0.00734036
1.19333e+07,0.00790469
1.195e+07,0.00765899
1.19667e+07,0.0104304
1.19833e+07,0.00743576
1.2e+07,0.0102318
1.20167e+07,0.00685148
1.20333e+07,0.00869745
1.205e+07,0.00513487
1.20667e+07,0.00847289
1.20833e+07,0.00451281
1.21e+07,0.00828257
1.21167e+07,0.0059172
1.21333e+07,0.00768551
1.215e+07,0.00834667
1.21667e+07,0.0083375
1.21833e+07,0.0100244
1.22e+07,0.00770022
1.22167e+07,0.00948828
1.22333e+07,0.00612325
1.225e+07,0.0084801
1.22667e+07,0.00537451
1.22833e+07,0.00877696
1.23e+07,0.00419576
1.23167e+07,0.00813827
1.23333e+07,0.00617534
1.235e+07,0.00874837
1.23667e+07,0.0084242
1.23833e+07,0.00859873
1.24e+07,0.00882299
1.24167e+07,0.00788223
1.24333e+07,0.00909846
1.245e+07,0.00644654
1.24667e+07,0.00846547
1.24833e+07,0.0051877
1.25e+07,0.00796766
1.25167e+07,0.00494675
1.25333e+07,0.0095756
1.255e+07,0.00663852
1.25667e+07,0.00876719
1.25833e+07,0.00810165
1.26e+07,0.00921877
1.26167e+07,0.00770897
1.26333e+07,0.00816078
1.265e+07,0.00758224
1.26667e+07,0.00666768
1.26833e+07,0.00824415
1.27e+07,0.0053718
1.27167e+07,0.00887475
1.27333e+07,0.00543629
1.275e+07,0.00956916
1.27667e+07,0.00675069
1.27833e+07,0.00986664
1.28e+07,0.00678949
1.28167e+07,0.00943574
1.28333e+07,0.00761473
1.285e+07,0.00857654
1.28667e+07,0.00761094
1.28833e+07,0.00667552
1.29e+07,0.00762776
1.29167e+07,0.00496335
1.29333e+07,0.00914659
1.295e+07,0.00596419
1.29667e+07,0.010381
1.29833e+07,0.00637601
1.3e+07,0.00988601
1.30167e+07,0.00680761
1.30333e+07,0.0101847
1.305e+07,0.00720193
1.30667e+07,0.00899612
1.30833e+07,0.00660646
1.31e+07,0.00690688
1.31167e+07,0.00737311
1.31333e+07,0.00524743
1.315e+07,0.00907928
1.31667e+07,0.00550986
1.31833e+07,0.00982852
1.32e+07,0.0066453
1.32167e+07,0.0107257
1.32333e+07,0.00667447
1.325e+07,0.0099078
1.32667e+07,0.00615234
1.32833e+07,0.0090619
1.33e+07,0.00645373
1.33167e+07,0.00652083
1.33333e+07,0.00726798
1.335e+07,0.00637701
1.33667e+07,0.00915875
1.33833e+07,0.00626062
1.34e+07,0.0103889
1.34167e+07,0.00665986
1.34333e+07,0.0110056
1.345e+07,0.00706831
1.34667e+07,0.0101523
1.34833e+07,0.00555504
1.35e+07,0.00798798
1.35167e+07,0.00629431
1.35333e+07,0.00639794
1.355e+07,0.00792815
1.35667e+07,0.0065388
1.35833e+07,0.00915776
1.36e+07,0.00758731
1.36167e+07,0.0111023
1.36333e+07,0.00808737
1.365e+07,0.0114091
1.36667e+07,0.00703456
1.36833e+07,0.00982426
1.37e+07,0.00475284
1.37167e+07,0.00735854
1.37333e+07,0.00622609
1.375e+07,0.00750527
1.37667e+07,0.007016
1.37833e+07,0.00773551
1.38e+07,0.00977547
1.38167e+07,0.00910753
1.38333e+07,0.0106328
1.385e+07,0.00889876
1.38667e+07,0.0103109
1.38833e+07,0.00590501
1.39e+07,0.00876471
1.39167e+07,0.00444892
1.39333e+07,0.00786215
1.395e+07,0.00556355
1.39667e+07,0.00758793
1.39833e+07,0.00721862
1.4e+07,0.00924223
1.40167e+07,0.00958181
1.40333e+07,0.00962349
1.405e+07,0.0113017
1.40667e+07,0.00901046
1.40833e+07,0.00913784
1.41e+07,0.005342
1.41167e+07,0.00848635
1.41333e+07,0.00379526
1.415e+07,0.00848422
1.41667e+07,0.00605704
1.41833e+07,0.00980541
1.42e+07,0.00810282
1.42167e+07,0.0111422
1.42333e+07,0.00940154
1.425e+07,0.0100307
1.42667e+07,0.0100048
1.42833e+07,0.00836554
1.43e+07,0.00868314
1.43167e+07,0.00470105
1.43333e+07,0.00737633
1.435e+07,0.00406974
1.43667e+07,0.00901543
1.43833e+07,0.00621603
1.44e+07,0.0113423
1.44167e+07,0.0087057
1.44333e+07,0.0118985
1.445e+07,0.00949366
1.44667e+07,0.0108524
1.44833e+07,0.00820858
1.45e+07,0.00717684
1.45167e+07,0.0071539
1.45333e+07,0.00418293
1.455e+07,0.00773799
1.45667e+07,0.00487577
1.45833e+07,0.0106265
1.46e+07,0.00735546
1.46167e+07,0.0121411
1.46333e+07,0.0090533
1.465e+07,0.0127142
1.46667e+07,0.00880504
1.46833e+07,0.0100249
1.47e+07,0.00699096
1.47167e+07,0.00633984
1.47333e+07,0.00692587
1.475e+07,0.00477323
1.47667e+07,0.00865012
1.47833e+07,0.00692379
1.48e+07,0.011742
1.48167e+07,0.00831968
1.48333e+07,0.0128131
1.485e+07,0.00874204
1.48667e+07,0.0116748
1.48833e+07,0.00725193
1.49e+07,0.00873496
1.49167e+07,0.00513794
1.49333e+07,0.00639239
1.495e+07,0.00664192
1.49667e+07,0.00646769
1.49833e+07,0.0101489
1.5e+07,0.0087682
1.50167e+07,0.0130839
1.50333e+07,0.00944181
1.505e+07,0.0129272
1.50667e+07,0.00736763
1.50833e+07,0.0104307
1.51e+07,0.00565593
1.51167e+07,0.00800931
1.51333e+07,0.00521461
1.515e+07,0.00718018
1.51667e+07,0.0076116
1.51833e+07,0.00883283
1.52e+07,0.0105436
1.52167e+07,0.0100741
1.52333e+07,0.0126337
1.525e+07,0.0091504
1.52667e+07,0.0127558
1.52833e+07,0.00678894
1.53e+07,0.00987286
1.53167e+07,0.00463809
1.53333e+07,0.00834779
1.535e+07,0.00452567
1.53667e+07,0.00800245
1.53833e+07,0.00852259
1.54e+07,0.0103434
1.54167e+07,0.0118881
1.54333e+07,0.0114705
1.545e+07,0.0127808
1.54667e+07,0.00865663
1.54833e+07,0.0111087
1.55e+07,0.0061321
1.55167e+07,0.00906628
1.55333e+07,0.00437965
1.555e+07,0.00902131
1.55667e+07,0.00544408
1.55833e+07,0.0103717
1.56e+07,0.0101466
1.56167e+07,0.0123748
1.56333e+07,0.0121818
1.565e+07,0.0111645
1.56667e+07,0.010863
1.56833e+07,0.00860338
1.57e+07,0.00961779
1.57167e+07,0.00639566
1.57333e+07,0.00811437
1.575e+07,0.00450998
1.57667e+07,0.0104468
1.57833e+07,0.00726985
1.58e+07,0.012161
1.58167e+07,0.00997491
1.58333e+07,0.0128074
1.585e+07,0.0107405
1.58667e+07,0.0109796
1.58833e+07,0.00947604
1.59e+07,0.00836397
1.59167e+07,0.0086565
1.59333e+07,0.006563
1.595e+07,0.00940359
1.59667e+07,0.00581713
1.59833e+07,0.0112835
1.6e+07,0.0083212
1.60167e+07,0.0136231
1.60333e+07,0.010843
1.605e+07,0.0130983
1.60667e+07,0.00981524
1.60833e+07,0.0108428
1.61e+07,0.00852136
1.61167e+07,0.00848519
1.61333e+07,0.00769916
1.615e+07,0.00606947
1.61667e+07,0.0102524
1.61833e+07,0.00690694
1.62e+07,0.0127025
1.62167e+07,0.00890903
1.62333e+07,0.0131818
1.625e+07,0.00917623
1.62667e+07,0.0125529
1.62833e+07,0.00786875
1.63e+07,0.0105181
1.63167e+07,0.00829104
1.63333e+07,0.00941909
1.635e+07,0.00886368
1.63667e+07,0.00826226
1.63833e+07,0.0109081
1.64e+07,0.00866449
1.64167e+07,0.0137437
1.64333e+07,0.00879438
1.645e+07,0.013605
1.64667e+07,0.00812384
1.64833e+07,0.0125697
1.65e+07,0.00757029
1.65167e+07,0.0111885
1.65333e+07,0.00770595
1.655e+07,0.00981411
1.65667e+07,0.00919014
1.65833e+07,0.00878378
1.66e+07,0.0127016
1.66167e+07,0.00944661
1.66333e+07,0.01299
1.665e+07,0.00862383
1.66667e+07,0.0127085
1.66833e+07,0.00767874
1.67e+07,0.0120585
1.67167e+07,0.00674425
1.67333e+07,0.0113068
1.675e+07,0.00731762
1.67667e+07,0.0106721
1.67833e+07,0.0101495
1.68e+07,0.0108908
1.68167e+07,0.0122888
1.68333e+07,0.00979997
1.685e+07,0.0127512
1.68667e+07,0.00899503
1.68833e+07,0.0132792
1.69e+07,0.0082098
1.69167e+07,0.012355
1.69333e+07,0.00731214
1.695e+07,0.0115117
1.69667e+07,0.00807887
1.69833e+07,0.0111251
1.7e+07,0.0102193
1.70167e+07,0.0107375
1.70333e+07,0.0121038
1.705e+07,0.0106096
1.70667e+07,0.0124393
1.70833e+07,0.01006
1.71e+07,0.0124439
1.71167e+07,0.00876029
1.71333e+07,0.0123055
1.715e+07,0.00731651
1.71667e+07,0.0118819
1.71833e+07,0.0076322
1.72e+07,0.0122784
1.72167e+07,0.0100281
1.72333e+07,0.012071
1.725e+07,0.0109201
1.72667e+07,0.0112917
1.72833e+07,0.012228
1.73e+07,0.0112418
1.73167e+07,0.0118703
1.73333e+07,0.00914801
1.735e+07,0.0127267
1.73667e+07,0.00687469
